"Gridlat","Gridlon","Gridelev","Sitelat","Sitelon","Siteelev","SeedOrchardSite","shortname"
50.84375,-119.46875,796,50.8685889544008,-119.451671522659,507,"Sorrento Seed Orchard","Sorrento"
50.21875,-119.28125,395,50.235700955307,-119.276634080816,486,"Kalamalka Seed Orchard","Kalamalka"
50.21875,-119.34375,739,50.229950432172,-119.320136897136,525,"Vernon Seed Orchard Company","Vernon"
50.40625,-119.28125,548,50.3870923312565,-119.29182887665,461,"Pacific Regeneration Technologies","PRT"
53.78125,-122.71875,597,53.7683909350725,-122.715779753023,597,"Prince George Tree Improvement Station","TOLKO"
50.40625,-119.21875,405,50.3968272593781,-119.209891311872,520,"TOLKO","Kettle River"
49.21875,-118.90625,836,49.2226589402711,-118.933972154881,632,"Kettle River Seed Orchards","Prince George"
