"id1","id2","lat","lon","elev"
"Sorrento Seed Orchard","site",50.8685889544008,-119.451671522659,"509"
"Kalamalka Seed Orchard","site",50.235700955307,-119.276634080816,"490"
"Vernon Seed Orchard Company","site",50.229950432172,-119.320136897136,"520"
"Pacific Regeneration Technologies","site",50.3870923312565,-119.29182887665,"466"
"Prince George Tree Improvement Station","site",53.7683909350725,-122.715779753023,"597"
"TOLKO","site",50.3968272593781,-119.209891311872,"526"
"Kettle River Seed Orchards","site",49.2226589402711,-118.933972154881,"638"
